div | Right Content Container | OUR CLIENTS | 20 | 676 | 350 | 370 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 30px | flex | none | none | fill | visible | relative
div | Home Image |  | 20 | 746 | 350 | 300 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 20px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
img |  | Modern A-frame house with large windows and forest | 20 | 746 | 350 | 300 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 20px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static | https://framerusercontent.com/images/4HL0fzFRq5ePZ1mpJXpZ4a4y5Y.png?scale-down-to=512&width=4096&height=3395 | 350x289
div | Clients Logo Wrapper | OUR CLIENTS | 20 | 676 | 350 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Clients Title | OUR CLIENTS | 20 | 682 | 112 | 27 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h6 |  | OUR CLIENTS | 20 | 682 | 112 | 27 | Switzer | 18px | 500 | 27px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Clients Ticker |  | 142 | 676 | 228 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 0.7 | 40px | flex | none | none | fill | visible | relative
li |  |  | 41 | 676 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 1 |  | 41 | 676 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 41 | 681 | 165 | 29 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 246 | 676 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | 246 | 676 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 246 | 681 | 191 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 477 | 676 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | 477 | 676 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 477 | 680 | 171 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 688 | 676 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 4 |  | 688 | 676 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
